country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
Germany,890994,907051,890934,889848,881167,863955,870164,847276,847967,788803
Australia,349724,356039,360363,373619,379687,382311,387059,394911,401965,400342
Austria,65984,70009,71890,77773,77688,79719,77084,74377,73929,67536
Belgium ,124551,124664,124221,127642,128241,124860,120770,116689,119105,108348
Belarus,53319,52347,52529,52891,56258,56670,59128,58280,60329,56828
Bulgaria,47609,51176,48005,52681,51342,52081,53504,57126,54315,45802
Canada,564504,558541,565112,584509,584407,574811,564919,594986,578346,542998
Croatia,19919,20856,21894,23383,22960,23371,23507,24837,23626,21755
Denmark,54810,56603,56139,61221,55797,52142,60129,55299,51981,49504
Slovakia,41210,42386,40827,42183,41966,41497,40855,38966,39092,35050
Slovenia ,15177,16094,16240,15991,16344,16639,16821,16947,17920,16019
Spain,304709,308483,327423,331270,348894,364222,354914,364383,334703,296942
United States,5966222,5864344,5903041,5956793,6068083,6104818,6012335,6110796,5911797,5496282
Estonia,15082,15430,14910,16737,16984,16333,15784,18798,17295,14096
Finland ,56742,62003,64443,72044,68173,56390,67768,66136,58255,55417
France ,412341,417066,412261,416741,420827,424364,410376,401908,394917,377755
Greece,103217,105577,105224,109359,109643,113384,111930,114450,110113,104336
Hungary,58417,59976,58292,61168,59590,60775,59456,57660,56230,50567
Ireand,44654,47061,45651,45081,45944,47709,47304,47481,47537,42414
Iceland,2775,2777,2868,2852,2927,2877,3050,3301,3595,3556
Italy,463670,469619,471927,487700,490565,490119,485428,476226,466004,417212
Japan,1251557,1236420,1273505,1278621,1278005,1282256,1263070,1296307,1213253,1144569
Latvia ,7005,7419,7417,7612,7775,7778,8255,8624,8188,6979
Liechtenstein,228,226,231,240,240,240,242,211,230,214
Lithuania ,12015,12750,12871,12591,13413,14176,14549,15822,15032,12908
Luxembourg ,8771,9301,10060,10517,11882,12154,12031,11425,11277,10710
Malta,2321,2438,2458,2639,2594,2612,2629,2697,2653,2511
Monaco,113,114,112,106,100,99,89,92,90,85
Norway,41740,43109,42248,43604,44043,43281,43511,45299,44418,42843
New Zealand,31125,32954,33010,34912,34245,35806,35936,35000,35686,33445
Netherlands,169965,175739,176040,179637,181038,176190,172578,172395,175308,169823
Poland,320926,317512,305724,316831,317097,318164,331023,328805,325058,313722
Portugal,63740,64201,68045,63252,65413,67717,62944,60831,59461,56155
UK,551368,563847,547202,557309,557611,555313,552194,544146,531828,480553
Czech Republic,127043,128675,124957,124507,125049,124567,125360,126051,120433,113388
Romania,96757,101077,107367,112427,111485,106225,111484,110231,103506,86180
Russia,1471353,1490417,1491366,1521304,1523543,1524800,1581876,1578915,1609205,1526778
Sweden,53913,54669,55714,56400,55786,53187,52924,51897,49876,46621
Switzeland,44106,44897,43975,45078,45574,46284,45821,43808,45299,43962
Turkey,225432,208990,218042,232641,243434,259605,276716,307916,297124,299106
Ukraine,295786,299889,304528,321200,322511,327213,342587,343318,327785,277757
